gsId,name,type,gradeRange,enrollment,parentRating,gsRating,district,districtId,districtNCESId,ncesId,address,city,state,lat,lon,phone
402,Acalanes High School,public,9-12,1423,4,10,Acalanes Union High School District,39,601650,060165000032,"1200 Pleasant Hill Road, 
Lafayette, CA  94549",Lafayette,CA,37.904312,-122.09906,(925) 280-3970
791,Addams Elementary School,public,K-6,824,4,3,Fresno Unified School District,99,614550,061455001703,"2117 West Mckinley Avenue, 
Fresno, CA  93728",Fresno,CA,36.764687,-119.83641,(559) 457-2510
954,Abraham Lincoln Middle School,public,7-8,994,5,4,Selma Unified School District,115,636270,063627001989,"1239 Nelson Boulevard, 
Selma, CA  93662",Selma,CA,36.58507,-119.60203,(559) 898-6600
1180,Adelante High School,public,9-12,3,4,6,Reef-sunset Unified School District,197,632270,063227002047,"701 General Petroleum Street, 
Kettleman City, CA  93239",Kettleman City,CA,36.00824,-119.96231,(559) 386-9081
1300,A. M. Thomas Middle School,public,6-8,170,5,1,Lost Hills Union Elementary School District,221,622950,062295007772,"20979 Lobos Court, 
Lost Hills, CA  93249",Lost Hills,CA,35.61527,-119.69955,(661) 797-2626
1786,Abraham Lincoln Elementary School,public,K-6,506,5,9,Glendale Unified School District,277,615240,061524001937,"4310 New York Avenue, 
La Crescenta, CA  91214",La Crescenta,CA,34.22807,-118.25298,(818) 249-1863
1887,Accelerated School,charter,K-8,763,3,4,Los Angeles Unified School District,286,622710,062271003245,"4000 South Main Street, 
Los Angeles, CA  90037",Los Angeles,CA,34.010433,-118.27393,(323) 235-6343
2198,Abraham Lincoln Senior High School,public,9-12,2045,3,5,Los Angeles Unified School District,286,622710,062271003139,"3501 North Broadway, 
Los Angeles, CA  90031",Los Angeles,CA,34.07387,-118.20386,(323) 441-4600
2535,Ada S. Nelson Elementary School,public,K-6,502,4,6,Los Nietos School District,291,622890,062289003501,"8140 South Vicki Drive, 
Whittier, CA  90606",Whittier,CA,33.970703,-118.07567,(562) 692-0615
2537,Addams Elementary School,public,K-5,928,4,5,Long Beach Unified School District,292,622500,062250002695,"5320 Pine Avenue, 
Long Beach, CA  90805",Long Beach,CA,33.852776,-118.19166,(562) 428-0202
2767,Abraham Lincoln School,public,K-5,636,5,8,Paramount Unified School District,303,629850,062985004650,"15324 California Avenue, 
Paramount, CA  90723",Paramount,CA,33.893658,-118.15869,(562) 602-8036
2857,Adams Middle School,public,6-8,994,4,8,Redondo Beach Unified School District,307,600032,060003204949,"2600 Ripley Avenue, 
Redondo Beach, CA  90278",Redondo Beach,CA,33.867092,-118.36332,(310) 798-8636
3400,Ada Givens Elementary School,public,K-6,482,4,3,Merced City Elementary School District,415,624600,062460003686,"2900 Green Street, 
Merced, CA  95340",Merced,CA,37.305054,-120.45375,(209) 385-6610
3435,Adaline E. Kent Middle School,public,5-8,573,4,9,Kentfield Elementary School District,427,619380,061938002329,"800 College Avenue, 
Kentfield, CA  94904",Kentfield,CA,37.95264,-122.54926,(415) 458-5970
3685,A. E. Arnold Elementary School,public,K-6,730,4,7,Cypress Elementary School District,470,610440,061044001166,"9281 Denni St, 
Cypress, CA  90630",Cypress,CA,33.826893,-118.05512,(714) 220-6965
3713,Acacia Elementary School,public,K-6,716,4,10,Fullerton Elementary School District,473,614730,061473001790,"1200 North Acacia Avenue, 
Fullerton, CA  92831",Fullerton,CA,33.88209,-117.89845,(714) 447-7700
3742,A. J. Cook Elementary School,public,K-6,355,4,10,Garden Grove Unified School District,474,614880,061488001834,"9802 Woodbury Avenue, 
Garden Grove, CA  92844",Garden Grove,CA,33.763634,-117.9584,(714) 663-6251
3873,Adams Elementary School,public,PK-6,423,4,5,Newport-Mesa Unified School District,482,627240,062724009593,"2850 Club House Road, 
Costa Mesa, CA  92626",Costa Mesa,CA,33.674343,-117.93196,(714) 424-7935
3887,Abraham Lincoln Elementary School,public,K-6,561,5,7,Newport-Mesa Unified School District,482,627240,062724000755,"3101 Pacific View Drive, 
Corona Del Mar, CA  92625",Corona Del Mar,CA,33.610317,-117.8601,(949) 515-6955
4015,Adams Elementary School,public,K-5,506,5,4,Santa Ana Unified School District,487,635310,063531005981,"2130 South Raitt Street, 
Santa Ana, CA  92704",Santa Ana,CA,33.717823,-117.89608,(714) 430-5900
4034,Abraham Lincoln Elementary School,public,K-5,923,3,2,Santa Ana Unified School District,487,635310,063531005993,"425 South Sullivan, 
Santa Ana, CA  92704",Santa Ana,CA,33.740757,-117.90255,(714) 972-6200
4069,A. G. Currie Middle School,public,6-8,776,4,3,Tustin Unified School District,489,640150,064015006636,"1402 Sycamore Avenue, 
Tustin, CA  92780",Tustin,CA,33.72601,-117.82508,(714) 730-7360
4151,Adelante High (Continuation) School,public,9-12,102,4,6,Roseville Joint Union High School District,507,633630,063363005189,"350 Atlantic Street, 
Roseville, CA  95678",Roseville,CA,38.752953,-121.28002,(916) 782-3155
4294,Abraham Lincoln Elementary School,public,K-5,618,4,5,Desert Sands Unified School District,520,611110,061111001230,"74-100 Rutledge Way, 
Palm Desert, CA  92260",Palm Desert,CA,33.73332,-116.37177,(760) 862-4340
4306,Acacia Middle School,public,6-8,746,3,2,Hemet Unified School District,521,616920,061692002148,"1200 East Acacia Avenue, 
Hemet, CA  92543",Hemet,CA,33.744034,-116.95826,(951) 765-1620
4447,Adams Elementary School,public,PK-6,513,4,3,Riverside Unified School District,532,633150,063315005129,"8362 Colorado Avenue, 
Riverside, CA  92504",Riverside,CA,33.944767,-117.43552,(951) 352-6709
4468,Abraham Lincoln Continuation School,public,9-12,198,5,2,Riverside Unified School District,532,633150,063315005148,"4341 Victoria Avenue, 
Riverside, CA  92507",Riverside,CA,33.971134,-117.36598,(951) 788-7371
4719,Abraham Lincoln Elementary School,public,K-6,438,3,3,Sacramento City Unified School District,553,633840,063384005218,"3324 Glenmoor Drive, 
Sacramento, CA  95827",Sacramento,CA,38.571594,-121.31276,(916) 228-5830
4743,A. M. Winn Waldorf-Inspired K-8,public,K-8,365,3,2,Sacramento City Unified School District,553,633840,063384005217,"3351 Explorer Drive, 
Sacramento, CA  95827",Sacramento,CA,38.56654,-121.32497,(916) 228-5880
4881,Adams Elementary School,public,K-6,555,4,6,Santa Barbara Unified School District,1224,601414,060141406015,"2701 Las Positas Road, 
Santa Barbara, CA  93105",Santa Barbara,CA,34.43263,-119.73364,(805) 563-2515
4904,Adam (William Laird) Elementary School,public,K-6,1036,4,3,Santa Maria-Bonita School District,574,605580,060558009312,"500 West Windsor, 
Santa Maria, CA  93458",Santa Maria,CA,34.9356,-120.4426,(805) 361-6700
4947,Adelanto Elementary School,public,K-5,493,3,1,Adelanto Elementary School District,591,601710,060171000038,"17931 Jonathan Street, 
Adelanto, CA  92301",Adelanto,CA,34.576164,-117.40944,(760) 246-5892
5058,Abraham Lincoln Elementary School,public,K-6,697,4,4,Colton Joint Unified School District,601,609390,060939000951,"444 East Olive Street, 
Colton, CA  92324",Colton,CA,34.077503,-117.31785,(909) 876-4176
5371,A. J. Dorsa Elementary School,public,K-5,489,4,2,Alum Rock Union Elementary School District,625,602310,060231000103,"1290 Bal Harbor Drive, 
San Jose, CA  95122",San Jose,CA,37.3391,-121.83791,(408) 928-7400
5439,Abraham Lincoln Elementary School,public,K-5,663,4,9,Cupertino Union School District,631,610290,061029001139,"21710 Mcclellan Road, 
Cupertino, CA  95014",Cupertino,CA,37.315468,-122.05336,(408) 252-4798
5603,Addison Elementary School,public,K-5,475,5,7,Palo Alto Unified School District,652,629610,062961004579,"650 Addison Avenue, 
Palo Alto, CA  94301",Palo Alto,CA,37.446186,-122.15111,(650) 322-5935
5647,Adrian Wilcox High School,public,9-12,1977,4,8,Santa Clara Unified School District,654,635430,063543006055,"3250 Monroe Street, 
Santa Clara, CA  95051",Santa Clara,CA,37.366875,-121.98578,(408) 423-2400
5675,Abraham Lincoln High School,public,9-12,1903,5,7,San Jose Unified School District,655,634590,063459005696,"555 Dana Avenue, 
San Jose, CA  95126",San Jose,CA,37.329212,-121.92388,(408) 535-6300
5797,Ada W. Harris Elementary School,public,3-6,353,4,8,Cardiff Elementary School District,675,607470,060747000706,"1508 Windsor Road, 
Cardiff-By-The-Sea, CA  92007",Cardiff-By-The-Sea,CA,33.03128,-117.27349,(760) 632-5894
6025,Abraxas Continuation High School,public,9-12,248,5,5,Poway Unified School District,699,631530,063153004883,"12450 Glenoak Road, 
Poway, CA  92064",Poway,CA,32.973675,-117.06088,(858) 748-5900
6026,Adobe Bluffs Elementary School,public,K-5,352,4,9,Poway Unified School District,699,631530,063153001203,"8707 Adobe Bluffs Drive, 
San Diego, CA  92129",San Diego,CA,32.97427,-117.14039,(858) 538-8403
6093,Adams Elementary School,public,K-5,318,4,4,San Diego Unified School District,705,634320,063432005407,"4672 35th Street, 
San Diego, CA  92116",San Diego,CA,32.76156,-117.11786,(619) 362-4200
6619,Adams Elementary School,public,K-8,558,2,2,Stockton Unified School District,759,638010,063801006398,"6402 Inglewood Avenue, 
Stockton, CA  95207",Stockton,CA,38.00908,-121.31598,(209) 933-7155
6922,Adelante Spanish Immersion School,public,K-5,579,5,5,Redwood City Elementary School District,795,632130,063213007421,"3150 Granger Way, 
Redwood City, CA  94061",Redwood City,CA,37.454227,-122.24339,(650) 482-2401
6955,Abbott Middle School,public,6-8,808,4,5,San Mateo-Foster City School District,799,634920,063492005896,"600 36th Avenue, 
San Mateo, CA  94403",San Mateo,CA,37.529526,-122.30884,(650) 312-7600
7108,Abraham Lincoln Elementary School,public,K-6,358,4,9,Santa Rosa Elementary School District,834,635810,063581006125,"850 West Ninth Street, 
Santa Rosa, CA  95401",Santa Rosa,CA,38.44161,-122.73655,(707) 890-3940
7579,Acacia Elementary School,public,K-5,322,5,6,Conejo Valley Unified School District,1011,609640,060964001004,"55 Norman Avenue, 
Thousand Oaks, CA  91360",Thousand Oaks,CA,34.196533,-118.87445,(805) 495-5550
7652,Adolfo Camarillo High School,public,9-12,2418,3,8,Oxnard Union High School District,1020,629270,062927004516,"4660 Mission Oaks Boulevard, 
Camarillo, CA  93012",Camarillo,CA,34.219437,-119.00781,(805) 389-6407
7753,Academy Of Technology & Leadership At Saticoy,public,K-5,354,4,6,Ventura Unified School District,1029,640980,064098006765,"760 Jazmin Avenue, 
Ventura, CA  93004",Ventura,CA,34.284676,-119.1602,(805) 672-2701
8387,Academy Of Our Lady Of Peace,private,9-12,747,4,7,Los Angeles Unified School District,286,622710,00077164,"4860 Oregon Street, 
San Diego, CA  92116",San Diego,CA,32.765125,-117.13578,(619) 297-2266
8564,Abiding Savior Lutheran School,private,K-8,269,4,9,Abc Unified School District,246,601620,00081272,"23262 El Toro Road, 
Lake Forest, CA  92630",Lake Forest,CA,33.624626,-117.69472,(949) 830-1461
8851,"Achieve, Inc. School",private,K-12,233,5,7,Paradise Unified School District,36,629820,00089577,"3860 Middlefield Road, 
Palo Alto, CA  94303",Palo Alto,CA,37.421936,-122.112144,(650) 494-1200
9065,Adventist Christian School,private,K-8,22,5,8,Santa Ana Unified School District,487,635310,00096416,"369 Harding Road, 
Yuba City, CA  95993",Yuba City,CA,39.12312,-121.65364,(530) 673-7645
9199,Abc Little School-Sherman Oaks,private,K-1,88,4,9,Abc Unified School District,246,601620,01898328,"14926 Burbank Boulevard, 
Los Angeles, CA  91411",Los Angeles,CA,34.171818,-118.45836,(818) 786-0301
9276,Achiever Christian School,private,PK-8,236,4,7,Paradise Unified School District,36,629820,01900554,"540 Sands Drive, 
San Jose, CA  95125",San Jose,CA,37.2886,-121.8732,(408) 264-6789
9507,Abraham Joshua Heschel Day School,private,K-8,361,4,9,Abc Unified School District,246,601620,02157581,"17701 Devonshire Street, 
Los Angeles, CA  91325",Los Angeles,CA,34.258606,-118.52034,(818) 368-5781
9557,ABC Little School,private,K-2,86,5,2,Sacramento City Unified School District,553,633840,A9100483,"6447 Woodman Avenue, 
Van Nuys, CA  91401",Van Nuys,CA,34.188076,-118.43155,(818) 786-5169
9561,Accelerated Learning Academy,private,6-12,492,4,5,Los Angeles Unified School District,286,622710,A9100495,"P.O. Box 2186, 
Lancaster, CA  93539",Lancaster,CA,34.6982,-118.1359,(661) 940-1636
9562,Adat Ari Elementary Day School,private,K-6,108,5,8,Redondo Beach Unified School District,307,600032,A9100497,"12020 Burbank Boulevard, 
Los Angeles, CA  91607",Los Angeles,CA,34.17182,-118.39514,(818) 766-4992
9563,Adda Clevenger School,private,K-8,124,4,8,Redondo Beach Unified School District,307,600032,A9100498,"180 Fair Oaks Street, 
San Francisco, CA  94110",San Francisco,CA,37.7537,-122.42452,(415) 824-2240
9564,Acts Advanced Christian Training Schools,private,K-12,90,5,4,Oakland Unified School District,14,628050,A1500137,"3025 Adelaida Road, 
Paso Robles, CA  93446",Paso Robles,CA,35.650322,-120.74909,(805) 239-0707
10297,Advanced Education Services-North Haven,private,K-12,15,3,8,Bonita Unified School District,256,605610,A9500657,"225 South Hope Street, 
Ukiah, CA  95482",Ukiah,CA,39.147995,-123.215126,(707) 947-7553
10315,Acts Christian Academy,private,K-8,90,3,4,Oakland Unified School District,14,628050,A9500695,"1034 66th Avenue, 
Oakland, CA  94621",Oakland,CA,37.758633,-122.196045,(510) 568-3333
10389,Advanced Education Services-Live Oak School,private,3-12,15,5,8,Bonita Unified School District,256,605610,A9500889,"10776 Fremont Street, 
Yucaipa, CA  92399",Yucaipa,CA,34.058056,-117.026695,(909) 790-9474
10477,ASA Silver Lake School,private,1-9,64,5,2,Abc Unified School District,246,601620,A9700494,"2772 Rowena Avenue, 
Los Angeles, CA  90039",Los Angeles,CA,34.107254,-118.26445,(323) 666-6706
10659,ABC Educational Center,private,K,365,4,2,Sacramento City Unified School District,553,633840,BB910149,"1129 Cole Ave, 
Los Angeles, CA  90038",Los Angeles,CA,34.09149,-118.330185,(323) 466-9984
10921,Abraham Lincoln Alternative School,public,K-12,98,4,2,Southern Kern Unified School District,238,637620,063762002045,"2601 Rosamond Boulevard, 
Rosamond, CA  93560",Rosamond,CA,34.864185,-118.17812,(661) 256-5090
11161,Academic/Vocational Charter Institute,charter,9-12,50,5,3,Pajaro Valley Unified School District,666,629490,062949008366,"112 Diamond Drive, 
Watsonville, CA  95076",Watsonville,CA,36.923912,-121.77228,(831) 728-6225
11296,ABC Little School,private,K-1,50,4,2,Sacramento City Unified School District,553,633840,A9302116,"927 North Fairfax Avenue, 
West Hollywood, CA  90046",West Hollywood,CA,34.08807,-118.36188,(323) 654-9920
11340,A. F. Williams Christian Academy,private,K-5,730,3,7,Cypress Elementary School District,470,610440,A9900190,"1437 West Centinela Avenue, 
Inglewood, CA  90302",Inglewood,CA,33.9767,-118.3647,(310) 674-8835
11342,Adat Y'shua Academy - Woodland Hills,private,2-9,108,5,8,Redondo Beach Unified School District,307,600032,A9900193,"Po Box 814, 
Los Angeles, CA  91365",Los Angeles,CA,34.17,-118.61,(818) 222-0200
11645,"Acaciawood School, Inc.",private,1-12,106,3,2,Hemet Unified School District,521,616920,BB980189,"2530 West La Palma Avenue, 
Anaheim, CA  92801",Anaheim,CA,33.846375,-117.97349,(714) 995-1800
11684,Acorn Woodland Elementary School,public,K-5,292,5,4,Oakland Unified School District,14,628050,062805010730,"1025 81st Avenue, 
Oakland, CA  94621",Oakland,CA,37.75286,-122.18605,(510) 639-3344
11752,Academy Of The Canyons,public,9-12,395,4,8,William S. Hart Union High School District,326,642510,064251008517,"26455 Rockwell Canyon Road, 
Santa Clarita, CA  91355",Santa Clarita,CA,34.40719,-118.56758,(661) 362-3056
11811,Abby Reinke Elementary School,public,K-5,808,4,9,Temecula Valley Unified School District,535,600028,060002808271,"43799 Sunny Meadows Drive, 
Temecula, CA  92592",Temecula,CA,33.491802,-117.08607,(951) 302-6610
11863,Adelante Charter School,charter,K-6,274,5,2,Santa Barbara Unified School District,1224,601414,060141408628,"1102 East Yanonali Street, 
Santa Barbara, CA  93103",Santa Barbara,CA,34.425632,-119.67914,(805) 966-7392
11910,ASCEND School,charter,K-8,433,4,4,Oakland Unified School District,14,628050,062805008677,"3709 East 12th Street, 
Oakland, CA  94601",Oakland,CA,37.774033,-122.22166,(510) 879-3140
11946,ABC Secondary (Alternative) School,public,7-12,64,5,2,Abc Unified School District,246,601620,060162010232,"16534 South Carmenita Road, 
Cerritos, CA  90703",Cerritos,CA,33.881546,-118.04635,(562) 229-7768
12098,Adele Harrison Middle School,public,6-8,415,4,5,Sonoma Valley Unified School District,833,637200,063720010436,"1150 Broadway, 
Sonoma, CA  95476",Sonoma,CA,38.28001,-122.45867,(707) 935-6080
12173,Accelerated Achievement Academy,charter,4-12,160,4,3,Ukiah Unified School District,373,640300,064030010552,"1031 North State Street, 
Ukiah, CA  95482",Ukiah,CA,39.16202,-123.20958,(707) 463-7080
12210,Academy for Academic Excellence,charter,K-12,1412,4,7,Apple Valley Unified School District,593,600017,060001707296,"17500 Mana Road, 
Apple Valley, CA  92307",Apple Valley,CA,34.532814,-117.2783,(760) 946-5414
12265,Academy Just for Kids,private,PK-5,703,4,2,Los Angeles Unified School District,286,622710,None,"6221 Fallbrook Avenue, 
Woodland Hills, CA  91367",Woodland Hills,CA,34.1832,-118.6234,(818) 347-3398
12742,Advantage Preparatory Schools,private,K-12,15,5,8,Santa Ana Unified School District,487,635310,BB020281,"22589 Hickory Place, 
Santa Clarita, CA  91390",Santa Clarita,CA,34.463646,-118.530174,(661) 296-5466
12968,A Plus Adventist Elementary School,private,K-1,37,4,2,Beaumont Unified School District,515,604290,AA000004,"234 North Isabel, 
Glendale, CA  91206",Glendale,CA,34.148796,-118.248856,(818) 241-9353
13424,A Better Chance / California Autism Foundation,private,K-12,29,4,2,Beaumont Unified School District,515,604290,K9300854,"4138 Lakeside Drive, 
Richmond, CA  94806",Richmond,CA,37.988487,-122.33088,(510) 262-1500
13655,Adult Education Program,public,n/a,1977,4,8,East Side Union High School District,632,611820,061182013454,"625 Educational Park Drive, 
San Jose, CA  95133",San Jose,CA,37.36564,-121.85906,(408) 928-9300
13670,Adult Education,public,n/a,1977,4,8,Conejo Valley Unified School District,1011,609640,060964013333,"1025 Old Farm Road, 
Thousand Oaks, CA  91360",Thousand Oaks,CA,34.205055,-118.86036,(805) 497-2761
13702,Adult Education,public,n/a,1977,4,8,Ceres Unified School District,876,608130,060813012588,"2491 Lawrence Street, 
Ceres, CA  95307",Ceres,CA,37.590195,-120.94979,(209) 556-1557
13789,Adult Education,public,n/a,1977,4,8,Washington Unified School District,1039,641580,064158013524,"919 Westacre Road, 
West Sacramento, CA  95691",West Sacramento,CA,38.57792,-121.52947,(916) 375-7901
13809,Accelerated Elementary Charter School,charter,K-6,492,4,5,Los Angeles Unified School District,286,622710,062271010830,"3914 S. Main Street, 
Los Angeles, CA  90037",Los Angeles,CA,34.011574,-118.27364,(323) 846-6694
13813,Adult Division Center,public,n/a,1977,4,8,Whittier Union High School District,327,642480,064248013392,"9401 South Painter Avenue, 
Whittier, CA  90605",Whittier,CA,33.952347,-118.04392,(562) 698-8121
13855,Abram Friedman Occupational,public,n/a,2045,4,5,Los Angeles Unified School District,286,622710,062271013497,"1646 South Olive Street, 
Los Angeles, CA  90015",Los Angeles,CA,34.034588,-118.26528,(213) 765-2400
13985,Adult Education,public,n/a,1977,4,8,Vacaville Unified School District,766,640590,064059013406,"100-A Mcclellan Street, 
Vacaville, CA  95688",Vacaville,CA,38.358513,-121.98361,(707) 453-6018
14001,A. Warren Mcclaskey Adult Center,public,n/a,365,4,2,Sacramento City Unified School District,553,633840,063384013258,"5241 J Street, 
Sacramento, CA  95819",Sacramento,CA,38.566467,-121.43915,(916) 277-6625
14062,Adult Education Division,public,n/a,1977,4,8,Jefferson Union High School District,787,618930,061893013224,"699 Serramonte Boulevard, Suite 111, 
Daly City, CA  94015",Daly City,CA,37.66842,-122.47754,(650) 550-7890
14086,Adult Education,public,n/a,1977,4,8,Mountain View-Los Altos Union High School District,649,626310,062631013505,"333 Moffett Boulevard, 
Mountain View, CA  94043",Mountain View,CA,37.398544,-122.07506,(650) 940-1333
14144,Acalanes Center For Independent Study,public,9-12,39,5,5,Acalanes Union High School District,39,601650,060165010751,"1963 Tice Valley Boulevard, 
Walnut Creek, CA  94595",Walnut Creek,CA,37.877663,-122.07422,(925) 280-3945
14207,Adelante Dual Language Academy,public,K-8,586,4,6,Alum Rock Union Elementary School District,625,602310,060231011793,"2999 Ridgemont Drive, 
San Jose, CA  95127",San Jose,CA,37.34457,-121.81271,(408) 928-1900
